course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
CMPT 427,I100,fall,2024,"CMPT 426, CGPA of 2.50.",CMPT 426,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tanya Behrisch;Cristina Eftenaru;Stephanie Greaves,3
IAT 386,D100,fall,2024,"Completion of 45 units, and permission of the instructor and of the School is required. No more than six units of Directed Studies may be taken.",,True,[],Gillian Russell;Steve DiPaola,3
CMPT 276,D400,fall,2024,"One W course, CMPT 225, (MACM 101 or (ENSC 251 and ENSC 252)) and (MATH 151 or MATH 150), all with a minimum grade of C-. MATH 154 or MATH 157 with at least a B+ may be substituted for MATH 151 or MATH 150.",CMPT 225;MACM 101;ENSC 251;ENSC 252;MATH 151;MATH 150;MATH 154;MATH 157,False,"[{'days': 'Mo', 'startTime': '16:30', 'endTime': '19:20', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '16:30', 'endTime': '19:20', 'campus': 'Burnaby'}]",Herbert Tsang,3
CMPT 479,D300,fall,2024,CMPT 300 with a minimum grade of C-.,CMPT 300,False,"[{'days': 'Tu', 'startTime': '16:30', 'endTime': '19:20', 'campus': 'Burnaby'}]",Deepak Rout,3
CMPT 479,D200,fall,2024,CMPT 300 with a minimum grade of C-.,CMPT 300,False,"[{'days': 'We', 'startTime': '16:30', 'endTime': '19:20', 'campus': 'Burnaby'}]",Deepak Rout,3
CMPT 496,D100,fall,2024,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the undergraduate chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair.",,False,[],Brian Fraser,3
INLG 435,A320,fall,2024,"LING 220, INLG (or FNLG) 332 or permission of instructor. Recommended: LING 360, 431 and 432.",LING 220,False,[],,3
INLG 335,A320,fall,2024,"INLG (or FNLG) 130, INLG (or FNLG) 133, INLG (or FNLG) 233 or permission of instructor. Recommended: LING 360.",,True,[],,3
INLG 435,A315,fall,2024,"LING 220, INLG (or FNLG) 332 or permission of instructor. Recommended: LING 360, 431 and 432.",LING 220,False,[],,3
STAT 436,D100,fall,2024,STAT 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op co-ordinator at least one term in advance.,STAT 337,False,[],Natalie Erickson,3
