course,term,year,prereqs
ca 452,spring,2024,CA 451.
ca 461,spring,2024,CA (or FPA) 460 and status as an approved major in visual art.
ca 471,spring,2024,CA (or FPA) 370 or 371 and prior approval.
ca 489,spring,2024,45 CA (or FPA) units.
ca 823,spring,2024,
ca 824,spring,2024,
ca 825,spring,2024,
ca 827,spring,2024,
ca 829,spring,2024,"CA (or FPA) 821 and two of the following: CA (or FPA) 823, 824, 825, 826, or 828."
ca 830,spring,2024,
ca 883,spring,2024,
ca 889,spring,2024,
ca 891,spring,2024,CA 890.
ca 892,spring,2024,
ca 895,spring,2024,CA 892.
ca 898,spring,2024,
ca 899,spring,2024,CA 895.
chem 110,spring,2024,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the Department. No previous training in chemistry is required for this course."
chem 111,spring,2024,"Pre-Calculus 12 (or equivalent), MATH 100 (may be taken concurrently), or permission of the Department. No previous training in chemistry is required for this course."
chem 120,spring,2024,"Chemistry 12 with a minimum grade of C, or CHEM 110 or 111 with a minimum grade of C-."
chem 121,spring,2024,"Chemistry 12 with a minimum grade of C, or CHEM 109 or 111 with a minimum grade of C-."
chem 122,spring,2024,CHEM 120 or 121 with a minimum grade of C-.
chem 126,spring,2024,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.
chem 210,spring,2024,CHEM 122 with a minimum grade of C-.
chem 216,spring,2024,"CHEM 122 and CHEM 126, both with a minimum grade of C-. Corequisite: CHEM 210."
chem 260,spring,2024,"CHEM 122, MATH 152, and PHYS 121, 126 or 141 (or PHYS 102 with a minimum grade of B), all with a minimum grade of C-. Recommended: MATH 232."
chem 266,spring,2024,CHEM 260 with a minimum grade of C-.
chem 281,spring,2024,CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122.
chem 282,spring,2024,CHEM 281 with a minimum grade of C-.
chem 283,spring,2024,CHEM 281 with a minimum grade of C-.
chem 284,spring,2024,"CHEM 282 with a minimum of C+, or permission of the Department."
chem 285,spring,2024,"CHEM 120 and CHEM 125, both with a minimum grade of C-, or CHEM 121 with a minimum grade of C-. Corequisite: CHEM 122 and CHEM 280."
chem 286,spring,2024,CHEM 281 with a minimum grade of C-. Corequisite: CHEM 282 or 283.
chem 296,spring,2024,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor."
chem 306,spring,2024,"Completion of 28 units in a science program, including first-year calculus, chemistry and physics. Minimum CGPA 2.67 (or permission of co-op co-ordinator)."
chem 307,spring,2024,CHEM 306 and completion of 42 units toward a BSc degree. Minimum CGPA 2.67 (or permission of co-op co-ordinator).
